Company Name,Tag Line,Rating,Review Count,Website,Profile Url,Logo Url,Is Verified,Min Project Size,Hourly Rate,Employee Count,Location,Service Focus Percentages,Origin Search Url
Wipro,,,,https://www.wipro.com/,https://www.wipro.com/contact-wipro/,,,,,,"Doddakannelli, Sarjapur Road, Bengaluru 560035, India",,
Tata Consultancy Services (TCS),,,,https://www.tcs.com/,https://www.linkedin.com/company/tata-consultancy-services,,,,,,"TCS House, Raveline St, Fort, Mumbai 400001, India",,
Cognizant,,,,https://www.cognizant.com/,https://www.cognizant.com/us/en/contact-us/,,,,,,"500 Frank W. Burr Blvd, Teaneck, NJ 07666, USA",,
Tech Mahindra,,,,https://www.techmahindra.com/,https://www.techmahindra.com/en-in/contact-us/,,,,,,"Sharda Centre, Off Karve Rd, Pune, Maharashtra 411004, India",,
Capgemini,,,,https://www.capgemini.com/,https://www.capgemini.com/contact-us/,,,,,,"11 Rue de Tilsitt, 75017 Paris, France",,
NTT Data,,,,https://www.nttdata.com/,https://www.nttdata.com/global/en/contact-us/,,,,,,"Toyosu Center Bldg, 3-3-3 Toyosu, Koto-ku, Tokyo 135-6033, Japan",,
NTT Ltd,,,,https://services.global.ntt/,https://services.global.ntt/en-us/contact-us/,,,,,,"2nd Floor, 1 King William Street, London EC4N 7AR, United Kingdom",,
DXC Technology,,,,https://dxc.com/,https://dxc.com/us/en/contact,,,,,,"1775 Tysons Blvd, Tysons, VA 22102, USA",,
Kyndryl,,,,https://www.kyndryl.com/,https://www.kyndryl.com/us/en/contact-us/,,,,,,"1 Vanderbilt Ave, 15th Floor, New York, NY 10017, USA",,
Orange Business Services,,,,https://www.orange-business.com/,https://www.orange-business.com/en/contact,,,,,,"111 Quai du Président Roosevelt, 92130 Issy-les-Moulineaux, France",,
BT (British Telecom),,,,https://www.bt.com/,https://business.bt.com/contact-us/,,,,,,"1 Braham Street, London E1 8EE, United Kingdom",,
Rackspace Technology,,,,https://www.rackspace.com/,https://www.rackspace.com/about/contact-us/,,,,,,"1 Fanatical Place, Windcrest, San Antonio, TX 78218, USA",,
All Covered (Konica Minolta),,,,https://www.allcovered.com/,https://www.allcovered.com/contact-us/,,,,,,"100 Williams Drive, Ramsey, NJ 07446, USA",,
OneNeck IT Solutions,,,,https://www.oneneck.com/,https://www.oneneck.com/contact/,,,,,,"525 Junction Rd, Madison, WI 53717, USA",,
Presidio,,,,https://www.presidio.com/,https://www.presidio.com/contact-us/,,,,,,"1 Pennsylvania Plaza, New York, NY 10119, USA",,
Softchoice,,,,https://www.softchoice.com/,https://www.softchoice.com/about/locations/,,,,,,"173 Dufferin St, Suite 200, Toronto, ON M6K 3H7, Canada",,
Long View Systems,,,,https://www.longviewsystems.com/,https://www.longviewsystems.com/contact/,,,,,,"144 4 Ave SW, Suite 2100, Calgary, AB T2P 3N4, Canada",,
Deloitte,,,,https://www.deloitte.com/,https://www.deloitte.com/global/en/footer/contact-us.html,,,,,,"1 New Street Square, London EC4A 3HQ, United Kingdom",,
IBM,,,,https://www.ibm.com/,https://www.ibm.com/contact/global,,,,,,"1 New Orchard Road, Armonk, NY 10504, USA",,
Navisite,,,,https://www.navisite.com/,https://www.navisite.com/contact/,,,,,,"400 Minuteman Rd, Andover, MA 01810, USA",,
TierPoint,,,,https://www.tierpoint.com/,https://www.tierpoint.com/contact-us/,,,,,,"12444 Powerscourt Dr, Suite 450, St. Louis, MO 63131, USA",,
Expedient,,,,https://www.expedient.com/,https://www.expedient.com/contact/,,,,,,"1 Allegheny Square, Suite 600, Pittsburgh, PA 15212, USA",,
2nd Watch,,,,https://www.2ndwatch.com/,https://www.2ndwatch.com/contact-us/,,,,,,"2101 4th Ave, Suite 2100, Seattle, WA 98121, USA",,
CDW Corporation,,,,https://www.cdw.com/,https://www.cdw.com/content/cdw/en/about/contact.html,,,,,,"75 Tri-State Intl, Lincolnshire, IL 60069, USA",,
Insight Enterprises,,,,https://www.insight.com/,https://www.insight.com/en_US/contact-us.html,,,,,,"6820 S Harl Ave, Tempe, AZ 85283, USA",,
World Wide Technology,,,,https://www.wwt.com/,https://www.wwt.com/contact-us/,,,,,,"1 World Wide Way, St. Louis, MO 63146, USA",,
MicroAge,,,,https://www.microage.com/,https://www.microage.com/contact/,,,,,,"Phoenix, AZ, USA",,
SHI International,,,,https://www.shi.com/,https://www.shi.com/contact,,,,,,"290 Davidson Ave, Somerset, NJ 08873, USA",,
Zones,,,,https://www.zones.com/,https://www.zones.com/site/statics/static_page.html?name=contact,,,,,,"1102 15th St SW, Suite 102, Auburn, WA 98001, USA",,
Inetum (Gfi Informatique),,,,https://www.inetum.com/,https://www.inetum.com/en/contact-us/,,,,,,"145 Boulevard Victor Hugo, 93400 Saint-Ouen, France",,
