Company Name,Tag Line,Rating,Review Count,Website,Profile Url,Logo Url,Is Verified,Min Project Size,Hourly Rate,Employee Count,Location,Service Focus Percentages,Origin Search Url
Starport Managed Services,Look for Verified Providers           Clutch conducts a rigorous verification process. confirming a provider’s     business registration. legal history. credit background. and client feedback     to be legitimate. so you can trust their ability to deliver.            Learn More                                                                         Premier Verified,4.9,4,https://r.clutch.co/redirect?analyticsjs=true&category=Managed+Service+Providers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=307818&from_page=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&is_sponsor=false&keyword=Managed+Service+Providers&location_id=124&no_click=1&page_canonical_id=1016012800000&page_location=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&page_number=0&page_type=directory&pid=307818&position=1&source=directory&trace_id=96c98b903cd9b0a3&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Fstarport.ca%2F%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dca-it-services-msp,https://clutch.co/profile/starport-managed-services,https://img.shgstatic.com/clutch-static-prod/image/scale/50x50/s3fs-public/logos/45b2b66fa131a58ccfef0519d1cdd563_52752456168152a430a6eb.png,false,$5.000+,$100 - $149 / hr,50 - 249,Toronto. Canada,50% IT Managed Services; 20% Cybersecurity; 15% Cloud Consulting & SI; 15% IT Strategy Consulting;,https://clutch.co/ca/it-services/msp?related_services=field_pp_sl_cloud_consult
Adastra,Premier Verified,4.9,12,https://r.clutch.co/redirect?analyticsjs=true&category=Managed+Service+Providers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=570600&from_page=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&is_sponsor=false&keyword=Managed+Service+Providers&location_id=124&no_click=1&page_canonical_id=1016012800000&page_location=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&page_number=0&page_type=directory&pid=570600&position=2&source=directory&trace_id=96c98b903cd9b0a3&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Fadastracorp.com%2F%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Ddirectory,https://clutch.co/profile/adastra,https://img.shgstatic.com/clutch-static-prod/image/scale/50x50/s3fs-public/logos/5d560357dc8bf2de7837d650393b1941.jpeg,false,$25.000+,Undisclosed,1.000 - 9.999,Toronto. Canada,10% IT Managed Services; 35% Cloud Consulting & SI; 30% BI & Big Data Consulting & SI; 15% IT Strategy Consulting; 10% AI Development;,https://clutch.co/ca/it-services/msp?related_services=field_pp_sl_cloud_consult
CGTechnologies,Premier Verified,4.8,6,https://r.clutch.co/redirect?analyticsjs=true&category=Managed+Service+Providers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=1820325&from_page=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&is_sponsor=false&keyword=Managed+Service+Providers&location_id=124&no_click=1&page_canonical_id=1016012800000&page_location=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&page_number=0&page_type=directory&pid=1820325&position=3&source=directory&trace_id=96c98b903cd9b0a3&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Fwww.cgtechnologies.com%2F%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dca-it-services-msp,https://clutch.co/profile/cgtechnologies,https://img.shgstatic.com/clutch-static-prod/image/scale/50x50/s3fs-public/logos/aaee11ea7c220647b7546d04dbcbd0ee_173181490667f7ec829eaae.jpg,false,$1.000+,$100 - $149 / hr,10 - 49,Vaughan. Canada,40% IT Managed Services; 15% Cybersecurity; 15% IT Strategy Consulting; 10% Cloud Consulting & SI; 10% Search Engine Optimization; 5% IT Staff Augmentation; 5% Unified Communications Consulting & SI;,https://clutch.co/ca/it-services/msp?related_services=field_pp_sl_cloud_consult
Dedicatted,Premier Verified,5.0,11,https://r.clutch.co/redirect?analyticsjs=true&category=Managed+Service+Providers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=2039132&from_page=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&is_sponsor=false&keyword=Managed+Service+Providers&location_id=124&no_click=1&page_canonical_id=1016012800000&page_location=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&page_number=0&page_type=directory&pid=2039132&position=4&source=directory&trace_id=96c98b903cd9b0a3&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Fdedicatted.com,https://clutch.co/profile/dedicatted,https://img.shgstatic.com/clutch-static-prod/image/scale/50x50/s3fs-public/logos/dd9fd3cceb1232a922ed1aaf87fe5b4b_83056405767d0185b41e3b.png,false,$25.000+,$50 - $99 / hr,50 - 249,Toronto. Canada,20% IT Managed Services; 20% BI & Big Data Consulting & SI; 20% DevOps Managed Services; 15% Cloud Consulting & SI; 15% Generative AI; 10% Enterprise App Modernization;,https://clutch.co/ca/it-services/msp?related_services=field_pp_sl_cloud_consult
Superion Inc,Premier Verified,5.0,3,https://r.clutch.co/redirect?analyticsjs=true&category=Managed+Service+Providers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=664680&from_page=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&is_sponsor=false&keyword=Managed+Service+Providers&location_id=124&no_click=1&page_canonical_id=1016012800000&page_location=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&page_number=0&page_type=directory&pid=664680&position=5&source=directory&trace_id=96c98b903cd9b0a3&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Fwww.superion.ca,https://clutch.co/profile/superion,https://img.shgstatic.com/clutch-static-prod/image/scale/50x50/s3fs-public/logos/superion-logo-full-color-w-tag-line_0.jpg,false,Undisclosed,$100 - $149 / hr,10 - 49,Surrey. Canada,45% IT Managed Services; 45% Cybersecurity; 10% Cloud Consulting & SI;,https://clutch.co/ca/it-services/msp?related_services=field_pp_sl_cloud_consult
Elastify,Premier Verified,4.8,13,https://r.clutch.co/redirect?analyticsjs=true&category=Managed+Service+Providers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=1387380&from_page=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&is_sponsor=false&keyword=Managed+Service+Providers&location_id=124&no_click=1&page_canonical_id=1016012800000&page_location=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&page_number=0&page_type=directory&pid=1387380&position=6&source=directory&trace_id=96c98b903cd9b0a3&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Fwww.elastify.ca,https://clutch.co/profile/elastify,https://img.shgstatic.com/clutch-static-prod/image/scale/50x50/s3fs-public/logos/b61ca8018313ff2ecbfa74ae6b535b9f.jpg,false,$5.000+,$150 - $199 / hr,10 - 49,Toronto. Canada,20% IT Managed Services; 20% Cloud Consulting & SI; 20% Cybersecurity; 20% IT Staff Augmentation; 20% IT Strategy Consulting;,https://clutch.co/ca/it-services/msp?related_services=field_pp_sl_cloud_consult
Nucleus Networks,Verified,5.0,2,https://r.clutch.co/redirect?analyticsjs=true&category=Managed+Service+Providers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=280979&from_page=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&is_sponsor=false&keyword=Managed+Service+Providers&location_id=124&no_click=1&page_canonical_id=1016012800000&page_location=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&page_number=0&page_type=directory&pid=280979&position=7&source=directory&trace_id=96c98b903cd9b0a3&transport_url=https%3A%2F%2Fg.clutch.co&u=http%3A%2F%2Fyournucleus.ca%2F%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Ddirectory,https://clutch.co/profile/nucleus-networks,https://img.shgstatic.com/clutch-static-prod/image/scale/50x50/s3fs-public/logos/nucleus.png,false,$5.000+,$100 - $149 / hr,50 - 249,Vancouver. Canada,50% IT Managed Services; 20% Cybersecurity; 15% Cloud Consulting & SI; 15% IT Strategy Consulting;,https://clutch.co/ca/it-services/msp?related_services=field_pp_sl_cloud_consult
Pathway Communications,Verified,,,https://r.clutch.co/redirect?analyticsjs=true&category=Managed+Service+Providers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=1334057&from_page=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&is_sponsor=false&keyword=Managed+Service+Providers&location_id=124&no_click=1&page_canonical_id=1016012800000&page_location=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&page_number=0&page_type=directory&pid=1334057&position=8&source=directory&trace_id=96c98b903cd9b0a3&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Fwww.pathcom.com%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dca-it-services-msp,https://clutch.co/profile/pathway-communications,https://img.shgstatic.com/clutch-static-prod/image/scale/50x50/s3fs-public/logos/08219ed31611792b738411e971d5e1d5.png,false,$1.000+,$150 - $199 / hr,50 - 249,Markham. Canada,35% IT Managed Services; 30% Call Center Services; 20% Cybersecurity; 15% Cloud Consulting & SI;,https://clutch.co/ca/it-services/msp?related_services=field_pp_sl_cloud_consult
Hexafusion Canada Inc.,Verified,,,https://r.clutch.co/redirect?analyticsjs=true&category=Managed+Service+Providers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=371180&from_page=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&is_sponsor=false&keyword=Managed+Service+Providers&location_id=124&no_click=1&page_canonical_id=1016012800000&page_location=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&page_number=0&page_type=directory&pid=371180&position=9&source=directory&trace_id=96c98b903cd9b0a3&transport_url=https%3A%2F%2Fg.clutch.co&u=https%3A%2F%2Fhexafusion.com,https://clutch.co/profile/hexafusion-canada,https://img.shgstatic.com/clutch-static-prod/image/scale/50x50/s3fs-public/logos/hexafusion_logo-200x200.jpg,false,$1.000+,$100 - $149 / hr,10 - 49,Vancouver. Canada,50% IT Managed Services; 20% Cloud Consulting & SI; 20% Cybersecurity; 10% IT Strategy Consulting;,https://clutch.co/ca/it-services/msp?related_services=field_pp_sl_cloud_consult
ABM Integrated Solutions,Verified,,,https://r.clutch.co/redirect?analyticsjs=true&category=Managed+Service+Providers&content_group=directory&debug_mode=false&event_category=visit_website&event_label=101322&from_page=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&is_sponsor=false&keyword=Managed+Service+Providers&location_id=124&no_click=1&page_canonical_id=1016012800000&page_location=https%3A%2F%2Fclutch.co%2Fca%2Fit-services%2Fmsp%3Frelated_services%3Dfield_pp_sl_cloud_consult&page_number=0&page_type=directory&pid=101322&position=10&source=directory&trace_id=96c98b903cd9b0a3&transport_url=https%3A%2F%2Fg.clutch.co&u=http%3A%2F%2Fwww.abmis.ca%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dca-it-services-msp,https://clutch.co/profile/abm-integrated-solutions,https://img.shgstatic.com/clutch-static-prod/image/scale/50x50/s3fs-public/logos/0af568e0337f4261028dc1ef76cabd48_83284291267e4175985d56.png,false,$5.000+,$150 - $199 / hr,250 - 999,Dartmouth. Canada,20% IT Managed Services; 20% Cybersecurity; 15% Cloud Consulting & SI; 15% IT Strategy Consulting; 15% Other IT Consulting and SI; 15% Unified Communications Consulting & SI;,https://clutch.co/ca/it-services/msp?related_services=field_pp_sl_cloud_consult
